freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.218e+01,2.453e+01,4.554e+02,4.921e+02
1.5,5.819e+01,9.304e+01,3.727e+02,5.239e+02
3.1,7.119e+01,9.793e+01,1.570e+02,3.261e+02
4.6,7.445e+01,1.016e+02,4.848e+02,6.609e+02
6.1,7.656e+01,9.952e+01,1.483e+03,1.659e+03
7.6,7.037e+01,9.309e+01,2.002e+03,2.166e+03
9.2,7.294e+01,1.017e+02,2.813e+03,2.987e+03
10.7,8.034e+01,1.003e+02,3.863e+03,4.044e+03
12.2,8.120e+01,1.026e+02,5.060e+03,5.244e+03
13.8,7.587e+01,1.028e+02,6.464e+03,6.643e+03
15.3,7.467e+01,1.012e+02,7.930e+03,8.106e+03
16.8,7.850e+01,1.008e+02,9.930e+03,1.011e+04
18.3,8.456e+01,1.048e+02,1.236e+04,1.255e+04
19.9,8.418e+01,1.106e+02,1.464e+04,1.483e+04
21.4,8.203e+01,1.101e+02,1.737e+04,1.757e+04
22.9,8.943e+01,1.127e+02,2.100e+04,2.120e+04
24.5,9.138e+01,1.052e+02,2.522e+04,2.541e+04
26.0,9.221e+01,1.112e+02,3.000e+04,3.020e+04
27.5,1.019e+02,1.121e+02,3.548e+04,3.569e+04
29.0,1.291e+02,1.190e+02,4.244e+04,4.269e+04
30.6,1.580e+02,1.423e+02,5.069e+04,5.099e+04
32.1,1.436e+02,1.387e+02,6.057e+04,6.086e+04
33.6,1.380e+02,1.238e+02,7.229e+04,7.255e+04
35.2,1.582e+02,1.317e+02,8.571e+04,8.600e+04
36.7,1.961e+02,1.249e+02,1.014e+05,1.017e+05
38.2,2.481e+02,1.184e+02,1.238e+05,1.242e+05
39.7,3.155e+02,1.289e+02,1.551e+05,1.556e+05
41.3,4.324e+02,1.172e+02,1.960e+05,1.966e+05
42.8,5.873e+02,1.580e+02,2.540e+05,2.547e+05
44.3,7.694e+02,3.003e+02,3.416e+05,3.426e+05
45.9,1.101e+03,7.125e+02,4.786e+05,4.804e+05
47.4,1.450e+03,3.664e+03,7.432e+05,7.483e+05
48.9,8.065e+02,1.078e+04,1.085e+06,1.097e+06
50.5,2.482e+02,1.586e+04,1.124e+06,1.141e+06
52.0,3.363e+02,1.479e+04,1.008e+06,1.023e+06
53.5,8.937e+02,1.259e+04,8.668e+05,8.803e+05
55.0,1.405e+03,1.256e+04,7.567e+05,7.707e+05
56.6,1.260e+03,1.348e+04,6.750e+05,6.898e+05
58.1,8.321e+02,1.494e+04,5.699e+05,5.857e+05
59.6,9.127e+02,1.516e+04,4.760e+05,4.921e+05
61.2,1.202e+03,1.203e+04,3.973e+05,4.106e+05
62.7,1.033e+03,7.800e+03,3.288e+05,3.376e+05
64.2,8.201e+02,6.346e+03,2.565e+05,2.636e+05
65.7,7.320e+02,6.935e+03,2.233e+05,2.310e+05
67.3,1.446e+03,6.961e+03,2.110e+05,2.194e+05
68.8,2.012e+03,5.044e+03,1.961e+05,2.032e+05
70.3,1.669e+03,2.861e+03,1.749e+05,1.795e+05
71.9,1.747e+03,1.370e+03,1.946e+05,1.977e+05
73.4,2.594e+03,6.738e+02,2.664e+05,2.697e+05
74.9,3.165e+03,2.936e+02,3.237e+05,3.272e+05
76.4,3.169e+03,3.745e+02,3.248e+05,3.283e+05
78.0,3.655e+03,1.076e+03,3.175e+05,3.222e+05
79.5,3.275e+03,2.386e+03,3.525e+05,3.582e+05
81.0,2.577e+03,3.252e+03,3.469e+05,3.527e+05
82.6,2.466e+03,4.385e+03,3.316e+05,3.384e+05
84.1,3.346e+03,5.957e+03,3.153e+05,3.246e+05
85.6,3.367e+03,8.727e+03,2.916e+05,3.037e+05
87.1,2.731e+03,1.096e+04,2.941e+05,3.078e+05
88.7,2.808e+03,1.499e+04,2.995e+05,3.173e+05
90.2,2.727e+03,1.978e+04,2.857e+05,3.083e+05
91.7,2.778e+03,2.430e+04,2.963e+05,3.234e+05
93.3,2.368e+03,2.282e+04,2.883e+05,3.135e+05
94.8,1.837e+03,1.946e+04,2.789e+05,3.002e+05
96.3,1.132e+03,1.939e+04,2.823e+05,3.028e+05
97.8,6.720e+02,2.036e+04,2.545e+05,2.756e+05
99.4,7.326e+02,2.249e+04,2.328e+05,2.560e+05
100.9,8.347e+02,2.472e+04,2.340e+05,2.595e+05
102.4,1.118e+03,2.575e+04,2.330e+05,2.599e+05
104.0,1.186e+03,2.382e+04,2.350e+05,2.600e+05
105.5,1.159e+03,2.011e+04,2.326e+05,2.539e+05
