freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.674e+02,1.556e+03,1.117e+03,3.239e+03
1.5,2.848e+03,4.995e+03,3.858e+03,1.170e+04
3.1,2.773e+03,4.993e+03,4.572e+03,1.234e+04
4.6,3.296e+03,6.425e+03,4.987e+03,1.471e+04
6.1,3.748e+03,7.183e+03,5.465e+03,1.640e+04
7.7,3.534e+03,5.448e+03,6.216e+03,1.520e+04
9.2,3.065e+03,7.225e+03,6.026e+03,1.632e+04
10.8,2.988e+03,8.687e+03,5.743e+03,1.742e+04
12.3,3.457e+03,1.010e+04,7.073e+03,2.063e+04
13.8,3.645e+03,1.185e+04,5.528e+03,2.102e+04
15.4,4.116e+03,1.367e+04,5.436e+03,2.322e+04
16.9,3.476e+03,1.722e+04,6.761e+03,2.746e+04
18.4,3.712e+03,2.180e+04,6.367e+03,3.188e+04
20.0,3.241e+03,2.655e+04,5.469e+03,3.526e+04
21.5,2.730e+03,3.279e+04,5.216e+03,4.074e+04
23.0,2.779e+03,4.315e+04,5.777e+03,5.170e+04
24.6,3.617e+03,5.683e+04,5.764e+03,6.621e+04
26.1,4.234e+03,7.715e+04,6.447e+03,8.783e+04
27.6,4.066e+03,1.123e+05,6.487e+03,1.228e+05
29.2,5.856e+03,1.800e+05,6.280e+03,1.921e+05
30.7,9.977e+03,3.129e+05,5.565e+03,3.285e+05
32.3,2.776e+04,6.921e+05,4.180e+03,7.241e+05
33.8,8.796e+04,1.697e+06,6.018e+03,1.791e+06
35.3,1.473e+05,2.328e+06,8.697e+03,2.484e+06
36.9,1.464e+05,1.860e+06,6.023e+03,2.013e+06
38.4,1.298e+05,1.202e+06,5.256e+03,1.337e+06
39.9,9.870e+04,7.424e+05,7.398e+03,8.485e+05
41.5,8.993e+04,5.487e+05,5.913e+03,6.445e+05
43.0,9.261e+04,4.478e+05,4.799e+03,5.452e+05
44.5,1.051e+05,3.553e+05,7.300e+03,4.677e+05
46.1,1.273e+05,3.015e+05,7.799e+03,4.366e+05
47.6,1.415e+05,2.426e+05,7.830e+03,3.920e+05
49.2,1.446e+05,1.789e+05,7.146e+03,3.307e+05
50.7,1.457e+05,1.431e+05,8.216e+03,2.970e+05
52.2,1.694e+05,1.266e+05,1.224e+04,3.083e+05
53.8,2.106e+05,9.699e+04,1.756e+04,3.252e+05
55.3,2.201e+05,6.556e+04,1.964e+04,3.053e+05
56.8,1.767e+05,4.957e+04,1.735e+04,2.436e+05
58.4,1.216e+05,4.727e+04,1.557e+04,1.844e+05
59.9,9.829e+04,4.735e+04,1.784e+04,1.635e+05
61.4,9.698e+04,4.199e+04,2.074e+04,1.597e+05
63.0,9.089e+04,4.123e+04,2.071e+04,1.528e+05
64.5,8.165e+04,4.532e+04,1.701e+04,1.440e+05
66.0,7.132e+04,4.849e+04,1.347e+04,1.333e+05
67.6,5.973e+04,5.031e+04,8.376e+03,1.184e+05
69.1,4.851e+04,5.137e+04,8.204e+03,1.081e+05
70.7,4.185e+04,5.174e+04,7.655e+03,1.013e+05
72.2,4.035e+04,5.245e+04,7.612e+03,1.004e+05
73.7,3.763e+04,5.458e+04,8.129e+03,1.003e+05
75.3,3.100e+04,5.811e+04,9.647e+03,9.876e+04
76.8,2.521e+04,6.222e+04,8.048e+03,9.548e+04
78.3,2.187e+04,6.166e+04,6.405e+03,8.993e+04
79.9,1.689e+04,5.528e+04,9.197e+03,8.137e+04
81.4,1.226e+04,4.854e+04,1.081e+04,7.160e+04
82.9,1.049e+04,4.122e+04,1.068e+04,6.238e+04
84.5,1.043e+04,3.384e+04,9.872e+03,5.413e+04
86.0,1.017e+04,2.765e+04,9.558e+03,4.737e+04
87.6,8.740e+03,2.237e+04,9.305e+03,4.042e+04
89.1,7.959e+03,1.850e+04,8.991e+03,3.545e+04
90.6,8.909e+03,1.538e+04,6.571e+03,3.086e+04
92.2,9.509e+03,1.262e+04,8.187e+03,3.032e+04
93.7,9.073e+03,9.109e+03,8.190e+03,2.637e+04
95.2,9.075e+03,7.016e+03,7.790e+03,2.388e+04
96.8,8.943e+03,5.297e+03,8.155e+03,2.240e+04
98.3,1.063e+04,4.345e+03,8.408e+03,2.338e+04
99.8,1.268e+04,5.154e+03,8.480e+03,2.631e+04
101.4,1.502e+04,5.945e+03,8.445e+03,2.941e+04
102.9,1.628e+04,6.570e+03,8.659e+03,3.151e+04
104.4,1.827e+04,7.581e+03,8.990e+03,3.484e+04
106.0,1.855e+04,1.063e+04,9.185e+03,3.836e+04
107.5,1.590e+04,1.152e+04,1.095e+04,3.838e+04
109.1,1.315e+04,1.304e+04,1.144e+04,3.762e+04
110.6,1.115e+04,1.558e+04,1.275e+04,3.948e+04
112.1,1.068e+04,1.493e+04,1.259e+04,3.820e+04
113.7,9.001e+03,1.487e+04,9.929e+03,3.380e+04
115.2,7.789e+03,1.377e+04,1.046e+04,3.202e+04
116.7,7.630e+03,1.266e+04,1.001e+04,3.031e+04
118.3,7.718e+03,1.345e+04,1.142e+04,3.259e+04
119.8,7.522e+03,1.414e+04,1.115e+04,3.282e+04
121.3,7.307e+03,1.457e+04,9.860e+03,3.173e+04
122.9,7.734e+03,1.498e+04,8.356e+03,3.107e+04
124.4,8.362e+03,1.494e+04,1.076e+04,3.406e+04
126.0,8.958e+03,1.471e+04,9.301e+03,3.297e+04
127.5,9.119e+03,1.545e+04,9.535e+03,3.411e+04
129.0,1.035e+04,1.543e+04,9.412e+03,3.519e+04
130.6,1.152e+04,1.514e+04,8.315e+03,3.497e+04
132.1,9.553e+03,1.382e+04,8.197e+03,3.157e+04
133.6,6.068e+03,7.411e+03,6.700e+03,2.018e+04
135.2,5.076e+03,4.675e+03,7.688e+03,1.744e+04
136.7,5.342e+03,5.594e+03,7.494e+03,1.843e+04
138.2,5.212e+03,5.313e+03,5.875e+03,1.640e+04
139.8,4.652e+03,4.675e+03,5.724e+03,1.505e+04
141.3,4.859e+03,4.278e+03,7.197e+03,1.633e+04
142.8,5.627e+03,4.683e+03,6.731e+03,1.704e+04
144.4,7.309e+03,5.286e+03,6.229e+03,1.882e+04
145.9,7.424e+03,4.593e+03,7.209e+03,1.923e+04
147.5,5.731e+03,3.384e+03,7.290e+03,1.641e+04
149.0,4.949e+03,3.902e+03,7.421e+03,1.627e+04
150.5,4.337e+03,4.151e+03,7.815e+03,1.630e+04
152.1,4.625e+03,3.382e+03,8.006e+03,1.601e+04
153.6,5.335e+03,2.643e+03,8.817e+03,1.680e+04
155.1,5.716e+03,3.315e+03,1.021e+04,1.924e+04
156.7,5.474e+03,3.379e+03,9.298e+03,1.815e+04
158.2,5.303e+03,3.375e+03,9.434e+03,1.811e+04
159.7,4.452e+03,3.800e+03,9.223e+03,1.748e+04
161.3,4.233e+03,3.448e+03,8.715e+03,1.640e+04
162.8,4.820e+03,3.213e+03,7.525e+03,1.556e+04
164.4,4.267e+03,2.766e+03,6.321e+03,1.335e+04
165.9,6.227e+03,3.114e+03,5.209e+03,1.455e+04
167.4,6.745e+03,2.952e+03,6.765e+03,1.646e+04
169.0,6.681e+03,2.682e+03,8.102e+03,1.747e+04
170.5,6.744e+03,2.935e+03,8.790e+03,1.847e+04
172.0,5.121e+03,2.842e+03,9.600e+03,1.756e+04
173.6,4.559e+03,3.937e+03,8.618e+03,1.711e+04
175.1,8.504e+03,7.147e+03,1.286e+04,2.851e+04
176.6,1.379e+04,1.211e+04,2.163e+04,4.753e+04
178.2,1.983e+04,1.981e+04,3.759e+04,7.723e+04
179.7,1.669e+04,1.553e+04,3.477e+04,6.699e+04
181.2,2.030e+04,1.900e+04,4.477e+04,8.408e+04
182.8,1.518e+04,1.315e+04,2.936e+04,5.768e+04
184.3,5.706e+03,3.496e+03,7.431e+03,1.663e+04
185.9,5.062e+03,3.181e+03,7.547e+03,1.579e+04
187.4,5.627e+03,2.664e+03,7.469e+03,1.576e+04
188.9,5.090e+03,2.617e+03,7.344e+03,1.505e+04
190.5,4.988e+03,2.437e+03,8.069e+03,1.549e+04
192.0,4.748e+03,2.325e+03,5.696e+03,1.277e+04
193.5,4.563e+03,2.547e+03,6.651e+03,1.376e+04
195.1,5.116e+03,3.263e+03,8.126e+03,1.650e+04
196.6,5.420e+03,3.537e+03,6.802e+03,1.576e+04
198.1,4.824e+03,2.353e+03,5.648e+03,1.283e+04
199.7,5.202e+03,2.335e+03,5.261e+03,1.280e+04
